community_area,address
AUSTIN,720 N Lorel Ave
NEAR NORTH SIDE,1530 N State Parkway
PORTAGE PARK,4039 4051 LAPORTE AVE
NEAR NORTH SIDE,420 N. Wabash Ave.
NEW CITY,2323 W Pershing Rd
MCKINLEY PARK,3525 S. Honroe
WEST ELSDON,4034 W 56th St
NEAR NORTH SIDE,310 E Superior St
PULLMAN,929 E 103RD ST
LOOP,233 S Wacker Drive
SOUTH DEERING,2437 E. 106TH STREET
LOOP,40 E. 9th St.
WOODLAWN,1427 E. 60th Street
PORTAGE PARK,4006 4016 N AUSTIN AVE
LOOP,168 N Michigan ave
LAKE VIEW,450 W. Briar Pl.
Near North Side,707 N Wells
GRAND BOULEVARD,740 E. 43rd Street
EDGEWATER,6145-6147 N. Sheridan Rd.
HYDE PARK,5541 S. Everett
NEAR NORTH SIDE,60 W. Walton
LOOP,120 South LaSalle Street
WEST RIDGE,2416-2458 W. Greenleaf Ave
SOUTH SHORE,6850 S Crandon Ave
NEAR NORTH SIDE,1221 N Dearborn St
HYDE PARK,5840 S. Ellis Ave.
NEAR WEST SIDE,2045 W. Jackson Blvd
LOOP,125 S. Clark Street
AVONDALE,3500 N Kimball Ave
NEAR WEST SIDE,200 N. Jefferson
HUMBOLDT PARK,3600 W FRANKLIN BLVD
IRVING PARK,3815 N Kedvale Ave
NEAR NORTH SIDE,225 W Evergreen Ave
UPTOWN,1020 W Lawrence Ave
NEAR WEST SIDE,850 W. Adams St.
LINCOLN PARK,525 W. Deming Place
WASHINGTON HEIGHTS,9535 S. Loomis St.
LOOP,8 E. 9th St.
UPTOWN,700 W. Bittersweet
LAKE VIEW,350 W. Oakdale Ave.
LAKE VIEW,3900 N Lake Shore Drive
West Town,520 N. Halsted St.
NEAR SOUTH SIDE,1720 S Michigan
SOUTH SHORE,7251 S. South Shore Drive
Lake View,534-552 West Brompton
LOOP,191 North Wacker Drive
OAKLAND,809 E 40TH ST
WEST ELSDON,5825 S Kostner Ave
UPTOWN,4607 N. Sheridan Rd.
LAKE VIEW,530 W. Diversey Pkwy
LAKE VIEW,3150 North Sheridan Road
RIVERDALE,801 E 133rd Pl
LOGAN SQUARE,2230 W MCLEAN AVE
NEAR NORTH SIDE,420 W Grand Ave
NEAR NORTH SIDE,1230 N State Street
LINCOLN PARK,1920 N. Clark Street
Near West Side,1609 W Warren BLVD
NORWOOD PARK,8101 W. Higgins
LOOP,134 N. LaSalle Street
LINCOLN PARK,2740 N. Pine Grove Avenue
LOOP,118 N. Clark St.
LOOP,One North Wacker Drive
UPTOWN,4750 N. Clarendon Avenue
NORTH LAWNDALE,1504 S Albany Ave
NEAR WEST SIDE,1634 W Polk
DOUGLAS,2600 S. King Drive Bldg
NEAR NORTH SIDE,108 East Superior St.
JEFFERSON PARK,5353 N. Elston
EAST GARFIELD PARK,3151 W Walnut St
LOOP,171 W Randolph St
LINCOLN SQUARE,2617 - 2625 West Gunnison Street
SOUTH LAWNDALE,2530 S. WASHTENAW AVE
UPTOWN,711 W Gordon Terrace
HYDE PARK,5220 S Drexel Avenue
NEAR WEST SIDE,111 N. Canal St.
AUSTIN,4821-4951 West North Avenue
LOOP,6 N. Michigan
LINCOLN PARK,1850 N. Clark Street
LAKE VIEW,2900 N Lake Shore Drive
NEAR NORTH SIDE,501-515 N. Clark St.
NORWOOD PARK,7240 West Foster Avenue
AUSTIN,41-51 N Central Ave
NEAR NORTH SIDE,909 North Michigan Avenue
NEAR NORTH SIDE,100 E Erie St
NEAR NORTH SIDE,240 E Illinois
NEAR NORTH SIDE,455 North Cityfront Plaza Drive
ROGERS PARK,7350 n. Sheridan rd.
NORTH LAWNDALE,2745 W Roosevelt Rd
LOOP,215 W Washington St
NEAR WEST SIDE,820 S Carpenter St
Douglas,3857 South Dr. Martin Luther King Jr. Drive
LOWER WEST SIDE,329 West 18th Street
CHATHAM,8001-07 S. Cottage Grove
EAST SIDE,10347 S Ewing Ave
LOOP,642 S. Clark Street
Near West Side,1116 W ADAMS ST
ROGERS PARK,1217-1227 W. Lunt Ave.
LOOP,68 East Wacker Place
DOUGLAS,207 East 31st Street
NORWOOD PARK,5900 N Nina Ave
NEAR NORTH SIDE,165 East Ontario St
NEAR NORTH SIDE,680 North Lake Shore Drive
AUBURN GRESHAM,7646 S Green St
ROGERS PARK,1345 1359 W ESTES AVE
LINCOLN PARK,1110 W. Belden
LINCOLN PARK,642 W. Deming Pl.
LOOP,33 W. Monroe Street
LOOP,520 s. michigan ave.
North Center,4040 N. Oakley
KENWOOD,1380 E. Hyde Park BLVD
NEAR WEST SIDE,10 South Riverside Plaza
LOOP,35 W. Wacker Dr.
LOOP,304 South State Street
LAKE VIEW,515 W. Briar
MOUNT GREENWOOD,3807 W 111th St
NORWOOD PARK,7262 West Peterson Avenue
MORGAN PARK,11840 S MARSHFIELD AVE
UPTOWN,5009 N Sheridan Rd
LOOP,401 S. State St.
NEAR NORTH SIDE,1330 N. Dearborn St.
Douglas,3041 S Michigan Ave
UPTOWN,820 W Lawrence Ave
SOUTH LAWNDALE,2510 S Kildare Ave
WEST TOWN,1255 North Noble Street
WOODLAWN,6220 S Stony Island Ave
WEST TOWN,2009 W SCHILLER ST
NEAR WEST SIDE,122-134 S. Aberdeen
NEAR NORTH SIDE,1555 N Dearborn Parkway
NEAR WEST SIDE,1330 W. Fulton Street
ROGERS PARK,7320 N Sheridan Rd
NEW CITY,4619 S Wolcott Ave
LOWER WEST SIDE,629 W Cermak
LOOP,201 North State Street
NEAR NORTH SIDE,333 E Ontario Street
NEAR NORTH SIDE,1260 N Astor St
DOUGLAS,11 W. 26th Street
PORTAGE PARK,3970 - 3982 N Milwaukee Ave
Near North Side,1325 N WELLS ST
NEAR SOUTH SIDE,1464 S. Michigan Avenue
LOGAN SQUARE,2545 W Diversey
LAKE VIEW,434 W. Roscoe
LINCOLN PARK,1609 1641 N LASALLE DR
HYDE PARK,5140 S Hyde Park Blvd.
BRIGHTON PARK,3014 W 39th Place
WOODLAWN,1414 E 61st Pl
NEAR NORTH SIDE,1110 N Lake Shore Dr
WEST TOWN,1431 N Western Avenue
LINCOLN PARK,2250 N Clifton Ave
GREATER GRAND CROSSING,6950 South Vincennes Avenue
WEST LAWN,7050 S Pulaski
NEAR NORTH SIDE,840 N. Lake Shore Dr.
KENWOOD,1118-1128 E. Hyde Park
NEAR NORTH SIDE,820 N. LaSalle
NEAR NORTH SIDE,1110 N Lake Shore Dr
LAKE VIEW,3656 N Halsted
KENWOOD,1119 E 46th St
HYDE PARK,5140 S Hyde Park Blvd.
HYDE PARK,1100 East 57th Street
LOOP,1006 S. Michigan Avenue
BRIGHTON PARK,2600 W 35TH ST
AVONDALE,2430 2458 W GEORGE ST
GREATER GRAND CROSSING,7200 South Ingleside
NEAR WEST SIDE,1900 West Van Buren Street
NORTH PARK,4025 W Peterson Ave
UPTOWN,5042 N. Winthrop
UPTOWN,4343 N. Clarendon Ave.
LAKE VIEW,2800 North Lake Shore Drive
LOOP,10 South Wacker Drive
NEAR WEST SIDE,555 West Adams
HYDE PARK,5837 S. Maryland Ave.
HYDE PARK,1212 East 59th Street
NEAR NORTH SIDE,1 - 15 E Oak Street
LOOP,800 s michigan ave
LINCOLN PARK,2323 N. Sheffield Ave.
NEAR WEST SIDE,140 North Ashland Ave.
ENGLEWOOD,6350 S Stewart St
NEAR WEST SIDE,140 North Ashland Ave.
ENGLEWOOD,6345 South Stewart
EDGEWATER,5201 Sheridan Road
DOUGLAS,3533 S Giles Ave
NEAR NORTH SIDE,444 N. Michigan Avenue
WEST TOWN,984 N. Milwaukee Ave
GRAND BOULEVARD,8 W Root St
LOOP,303 West Madison
HYDE PARK,5416 S. Cornell Ave.
HYDE PARK,933 East 56th Street
SOUTH SHORE,7425 S. Shore Dr.
CHATHAM,8555 S Michigan Ave
HYDE PARK,5123-5135 S. University Ave.
AUSTIN,4821-4951 West North Avenue
LINCOLN SQUARE,4740 N Western Ave
AUBURN GRESHAM,7901 S Sangamon St
EAST GARFIELD PARK,3151 W Walnut St
ROGERS PARK,7064 N SHERIDAN RD
LOOP,200 N LaSalle Ave
AUSTIN,5600 W Iowast
LINCOLN PARK,2625 N Clark St
NEAR WEST SIDE,720-726 W. Randolph St.
NEAR SOUTH SIDE,125 E. 21st Street
DOUGLAS,401 E. 32nd Street
NEW CITY,5024 S Wolcott Ave
LOOP,130 North Garland Court
NEAR NORTH SIDE,520 North Michigan Avenue
AVONDALE,2609 W. Belmont Ave.
Avondale,2989 N. Milwaukee Ave.
EAST GARFIELD PARK,212 South Francisco Ave
NORWOOD PARK,5225 N Oak Park Ave
NEAR NORTH SIDE,300 N LaSalle
WEST TOWN,2714 W Augusta Blvd
WEST LAWN,7601 S KOSTNER AVE
Near North Side,545 Mcclurg Ct
HYDE PARK,5222 S Drexel Avenue
OAKLAND,3859 S. Vincennes Avenue
ASHBURN,8300 S St Louis Ave
NEAR NORTH SIDE,401 N Michigan Avenue
HYDE PARK,5254 S. Dorchester
NEAR NORTH SIDE,10 East Ontario
UPTOWN,4251 N Clarendon Ave
LOOP,195 North Harbor Drive
LOOP,209 S. LaSalle
LINCOLN PARK,2700 N. Hampden Ct.
NEAR WEST SIDE,560 W. Fulton
LOOP,1133 S. Wabash Ave.
WEST TOWN,1044 N. Francisco Ave
WEST TOWN,2233 West Division St
SOUTH SHORE,7150 S. Cyril Court
HEGEWISCH,2949 East 131st Street
LAKE VIEW,3510 N. Pine Grove Ave.
NEAR WEST SIDE,1515 W Monroe St
NEAR NORTH SIDE,11 E Walton
NEAR NORTH SIDE,125 West Ohio Street
UPTOWN,4278 N. Hazel St
LAKE VIEW,626-630 West Waveland
WEST TOWN,1313 N Claremont Ave
WASHINGTON PARK,6105 S Michigan Ave
BELMONT CRAGIN,3030 N MOBILE AVE
NEAR NORTH SIDE,1000 N. Lake Shore Drive
LOOP,111 East Wacker Drive
SOUTH DEERING,9804 S Exchange
NEAR NORTH SIDE,635 North Dearborn Street
LINCOLN PARK,607 W. Wrightwood Ave.
NEAR NORTH SIDE,600-820 N. Wabash St.
EDGEWATER,1518 W Granville Ave
LAKE VIEW,635 W. Grace St.
NEAR NORTH SIDE,520 N. Kingsbury
LOOP,78 E. Washington St.
NEAR WEST SIDE,444 W Lake St
WEST TOWN,2233 W Ohio St
OHARE,10000 W OHARE DR
Near South Side,1727 S. Indiana Avenue
KENWOOD,4554 S Drexel Blvd
NEAR WEST SIDE,850 W. Adams St.
EDGEWATER,5445 N. Sheridan Rd.
NEAR NORTH SIDE,300 N State Street
LOOP,225 W. RANDOLPH
ENGLEWOOD,6301 South Halsted
HERMOSA,2121 N Keeler Ave
WASHINGTON PARK,5356 S King Dr
NEAR NORTH SIDE,65 E Goethe
NEAR WEST SIDE,15 S. Wood Street
WEST RIDGE,6710 N Washtenaw Ave
NEAR NORTH SIDE,1000 N. Lake Shore Drive
LOOP,212 W Washington Street
LAKE VIEW,536 W. Addison St.
LAKE VIEW,2960 North Lake Shore Drive
KENWOOD,1607 E. 50th Street
NEAR NORTH SIDE,1440 N. Lake Shore Dr.
NEAR NORTH SIDE,737 N Michigan
LOOP,190 South LaSalle
HYDE PARK,5835 S. Drexel Ave.
LOOP,17 N. State Street
NEAR WEST SIDE,1901 W. Carroll
NEAR NORTH SIDE,835 North Rush Street
DOUGLAS,2951 S King Drive
Edgewater,5556 N. Sheridan Rd.
NEAR SOUTH SIDE,100 E 14th Street
UPTOWN,4300 N. Marine Dr.
CHATHAM,161-205 W. 87th Street
LOGAN SQUARE,2367 West Logan Blvd
LAKE VIEW,2940 North Ashland
NEAR NORTH SIDE,1211 N. LaSalle St.
CHATHAM,660 E 85th Street
SOUTH SHORE,6900 S. Crandon Ave
LAKE VIEW,336 W Wellington
WEST TOWN,1341 N Paulina
NEAR SOUTH SIDE,1400 S. Indiana Street
Lincoln Park,350 W Belden Ave
DUNNING,7707 W. Irving Park Road
NEAR NORTH SIDE,1400 N Lake Shore Drive
SOUTH SHORE,2355 East 67th Street
EAST GARFIELD PARK,3600 W 5th Ave
LOOP,30 West Monroe
LOOP,175 N State Street
EDGEWATER,6165 N. Winthrop Avenue
LAKE VIEW,836 W. Wellington Avenue
GAGE PARK,5025 S. St. Louis
NEAR NORTH SIDE,430 N. Michigan Ave
NEAR NORTH SIDE,1212 N Wells
NEAR NORTH SIDE,345 North LaSalle Drive
NEAR NORTH SIDE,100 W Chestnut
SOUTH LAWNDALE,2829 S. California Blvd.
NEAR NORTH SIDE,530 N La Salle Dr
FULLER PARK,4320 S Princeton
EDGEWATER,5527 5539 N. Kenmore Ave.
SOUTH LAWNDALE,3030 W. 21ST PLACE
NEAR NORTH SIDE,1212 N LaSalle
LAKE VIEW,3500 N Lakeshore Drive
WEST PULLMAN,801- 831 W. 119th St.
LOOP,636 South Michigan Avenue
LOOP,235 W Van Buren
NEAR NORTH SIDE,850 N Dewitt Place
LOOP,25 E. Jackson Blvd.
EDGEWATER,5200 N Ashland Ave
LOOP,180 North LaSalle Street
LOOP,69 W. Washington Street
NEAR NORTH SIDE,345 North LaSalle Drive
LOOP,175 W. Jackson
LOOP,600 South Dearborn St.
LAKE VIEW,532 - 536 West Stratford Place
LOGAN SQUARE,2140 N. Elston Ave
NEAR NORTH SIDE,1400 N Lake Shore Drive
LOOP,55 West Monroe
NEAR NORTH SIDE,200 E Chestnut Street
Near North Side,545 Mcclurg Ct
LOOP,1-17 N. Dearborn Street
AUSTIN,214 N LAVERGNE AVE
BELMONT CRAGIN,2301 N Central Ave
HYDE PARK,"1116 East 59th Street  Chicago, IL 60637"
NEAR WEST SIDE,550 West Washington
DOUGLAS,500 E. 33rd Street
Logan Square,1825 W. Webster Ave.
NEAR SOUTH SIDE,233 E. 13th Street
NEAR NORTH SIDE,1 East Scott St.
NEAR NORTH SIDE,250 E Superior Street
BRIDGEPORT,3527 S Wallace St
NEAR NORTH SIDE,333 E Ontario Street
LOGAN SQUARE,"2625-27 N Kedzie, 3142-50 W Logan, 2601-07 N Milwaukee"
HYDE PARK,5500 S. Shore Drive
NEAR NORTH SIDE,71 E. Division
AUSTIN,243 N Parkside Ave
LINCOLN PARK,2738 N. Pine Grove Ave.
NORTH LAWNDALE,3711 W Douglas Blvd
Near North Side,400 W Huron St
LOOP,222 North LaSalle Street
WEST TOWN,1360 N. Ashland Avenue
NEAR WEST SIDE,1100 S Canal Street
SOUTH LAWNDALE,2233 S Kedzie Ave
WEST GARFIELD PARK,4409 W Wilcox St
WOODLAWN,661 E. 69TH STREET
AUSTIN,417-21 S Central
LINCOLN PARK,2720-2730 N. Greenview Ave.
LOOP,195 North Harbor Drive
NEAR NORTH SIDE,333 N. Dearborn
IRVING PARK,4540 W Belmont Avenue
LOOP,321 S. Plymouth Ct.
NEAR WEST SIDE,626 West Jackson Boulevard
WEST RIDGE,5835 N Lincoln Ave
WEST ENGLEWOOD,6121 S Hermitage Ave
NEAR WEST SIDE,401 S Clinton St
KENWOOD,4655 S. Lake Park
NEAR NORTH SIDE,71 E. Division
LOOP,225 W. RANDOLPH
LOOP,521-531 S. Dearborn St.
NORWOOD PARK,7435 West Talcott Avenue
LOOP,160 N. LaSalle St.
LOOP,35 NORTH STATE STREET
NEAR WEST SIDE,560 - 566 W. Lake
WEST RIDGE,7345 N WASHTENAW AVE
WEST TOWN,680 N Green Street
AUSTIN,5670 W LAKE ST
AUSTIN,243 N Parkside Ave
LAKE VIEW,440 W. Barry
West Ridge,3101 W Touhy Ave
HYDE PARK,970 E.59th St.
LOOP,25 E. Jackson Blvd.
Near North Side,1-11 E Pearson Ave
LINCOLN PARK,2322 N. Kenmore
UPTOWN,4600 N. Clarendon Ave.
NEAR SOUTH SIDE,2031 S Clark
NEAR NORTH SIDE,505 N. Lake Shore Drive
LAKE VIEW,2828 N Burling Street
ASHBURN,3939 W 79th St
NEAR SOUTH SIDE,1801 South Wabash Avenue
LOOP,1 S State St
NEAR SOUTH SIDE,1251/1255 S. Michigan Avenue
EAST SIDE,10347 S Ewing Ave
AVONDALE,3650 W SCHOOL ST
EAST GARFIELD PARK,3545 W Fulton St
IRVING PARK,3633 N. California
NEAR NORTH SIDE,820 N. LaSalle
BELMONT CRAGIN,6560 W Fullerton Ave
NEAR NORTH SIDE,65 E Scott
NEW CITY,2323 W Pershing Rd
LOOP,110 W Madison St
DOUGLAS,3200 S CALUMET AVE
LOOP,122 S. Michigan Ave.
GRAND BOULEVARD,50th Street and Champlain
NEAR WEST SIDE,222 South Riverside Plaza
DOUGLAS,3445 S Rhodes Ave
NEAR NORTH SIDE,1209 North Astor Street
WEST TOWN,370 N. Des Plaines
WASHINGTON PARK,5400 S State St
SOUTH LAWNDALE,2526 W. Cermak
NEAR NORTH SIDE,223 West Erie Street
NEW CITY,4555 S Western Blvd
Near West Side,601 West Jackson
Uptown,5025 N. Paulina
NEAR WEST SIDE,10 South Riverside Plaza
NEAR NORTH SIDE,440 North Wells Street
BRIDGEPORT,950 W 33rd Place
WEST LAWN,4707 W Marquette Rd
NEAR NORTH SIDE,73 E Elm St
NEAR NORTH SIDE,303 W. Division St
NEAR NORTH SIDE,233 E. Erie
CHATHAM,8101-25 S Ingleside
LOGAN SQUARE,1816 North St. Louis
DUNNING,6430 W Belle Plaines
LOOP,130 East Randolph & 180 North Stetson
LAKE VIEW,3616-18 N. Pine Grove Ave.
MCKINLEY PARK,1940 W 33RD ST
LOOP,111 East Wacker Drive
ROGERS PARK,1020 W Sheridan Rd
NEAR NORTH SIDE,345 E Ohio St
Lake View,810 W. Grace
NEAR WEST SIDE,310 South Peoria Street/ 315 South Peoria Street
UPTOWN,700 W. Bittersweet
NEAR WEST SIDE,33 S Aberdeen St
LAKE VIEW,3170 N Sheridan Road
GARFIELD RIDGE,4437 S. Cicero Avenue
HYDE PARK,1100 East 57th Street
MONTCLARE,2370 N Newcastle Ave
NEAR NORTH SIDE,88 West Schiller
KENWOOD,4537 S. Drexel St
Near North Side,367 W. Locust St.
IRVING PARK,3601 N MILWAUKEE AVE
WOODLAWN,1427 E. 60th Street
LOOP,24 East Congress Parkway
ROGERS PARK,1707 W Morse Ave
NEAR NORTH SIDE,200 E Illinios St.
EAST SIDE,10347 S Ewing Ave
HYDE PARK,1642 E 56th Street
MORGAN PARK,1460 W 112TH ST
AVONDALE,3300 W Diversey Ave
CHATHAM,7914 7932 S WABASH AVE
HEGEWISCH,13221 S Burley
LAKE VIEW,3224-3244 N. Halsted St.
WEST RIDGE,7141 N Kedzie
ROGERS PARK,1645-63 W Pratt condo Assoc
LOOP,35 East Wacker Drive
AUSTIN,4952 W. Thomas
HYDE PARK,5472 South Kimbark Avenue
LOOP,110 W Madison St
Woodlawn,6245 South Ingleside
KENWOOD,4800 - 4850 S Lake Park Ave
WEST TOWN,370 N. Des Plaines
LOGAN SQUARE,1820 N Spaulding
PORTAGE PARK,5630 W. Belmont
NEAR WEST SIDE,226 N Clinton Street
LOOP,642 S Clark St
LAKE VIEW,4221 N Paulina
NEAR NORTH SIDE,1415 N Dearborn St
NEAR NORTH SIDE,412 N Wells St.
NORWOOD PARK,5115 North Mont Clare Avenue
DUNNING,4255 N Oak Pak Ave
NEAR NORTH SIDE,1140 N LaSalle St
WEST RIDGE,6833 N Kedzie Ave
LOOP,29 E. Madison
LAKE VIEW,2851 N Seminary Ave
WEST ELSDON,5220 S. Pulaski Rd.
NEAR NORTH SIDE,222-232 W. Division St.
KENWOOD,1118-1128 E. Hyde Park
WEST TOWN,910 W Huron St
KENWOOD,936 E. 47th Street
LOGAN SQUARE,2740 W. Armitage Avenue
NORTH PARK,6211 N Lincoln Ave
NEAR SOUTH SIDE,1464 S. Michigan Avenue
OHARE,8600 West Bryn Mawr Ave
LOOP,1 West Wacker Drive
NEAR WEST SIDE,353 N. Des Plaines
EAST GARFIELD PARK,251 N. Albany
IRVING PARK,2939 W ADDISON ST
SOUTH SHORE,1949 - 1959 E. 71st Street
NEAR SOUTH SIDE,1516 S. Wabash
CHATHAM,660 E 85th Street
ALBANY PARK,4730 N Kimball Ave
GARFIELD RIDGE,6107 S. Archer Ave.
HYDE PARK,1020-24 East 58th Street
WOODLAWN,6031 South Ellis Avenue
LOGAN SQUARE,3335 W. Diversey
NEAR NORTH SIDE,900 N North Branch St
WEST RIDGE,7033 N. Kedzie Avenue
LINCOLN PARK,2300 North Lincoln Park West
Lake View,434 W MELROSE ST
NEAR WEST SIDE,728 W Jackson Blvd
Lake View,725 West Irving Park Road
Near South Side,1515 -1525 S. Michigan Ave.
NEAR NORTH SIDE,142 E Ontario
NEAR SOUTH SIDE,1255 S. State Street
MOUNT GREENWOOD,3931 3959 W 104TH ST
JEFFERSON PARK,4825-35 N. CENTRAL AVENUE
LOOP,618 S. Wabash Ave.
NEAR NORTH SIDE,860 W Blackhawk St
LINCOLN PARK,2625 N Orchard St
HYDE PARK,5841 S. Maryland Ave.
LOOP,180 N Michigan
ASHBURN,3939 W 79th St
WEST TOWN,740 N. Milwaukee Ave.
LOOP,10-20 South State Street
HYDE PARK,5254 S. Dorchester
NEAR NORTH SIDE,30 E Huron
BRIDGEPORT,2825 S. Halsted
WOODLAWN,1414 E 61st Pl
GRAND BOULEVARD,41 W 47th St
NORTH CENTER,3905-29 N. Western Ave.
NEAR WEST SIDE,330 N. Clinton
ROGERS PARK,7019 N Ashland Ave
LINCOLN PARK,2247 N. Halstead Ave.
BELMONT CRAGIN,2148 N LONG AVE
NEAR NORTH SIDE,222 E Pearson
NEAR NORTH SIDE,405 North Wabash Ave
GRAND BOULEVARD,401 E. Bowen
NEAR NORTH SIDE,315-331 N. LaSalle
UPTOWN,4900 N. Sheridan Rd
LINCOLN PARK,2311 N. Racine
WEST TOWN,984 N. Milwaukee Ave
NEAR WEST SIDE,626 West Jackson Boulevard
HYDE PARK,5530 South Ellis Avenue
AUSTIN,5957 W MADISON ST
NEAR SOUTH SIDE,1841 S Calumet Ave
ENGLEWOOD,815 W 63rd Street
OAKLAND,4001 S Ellis Ave
LAKE VIEW,515 W. Barry Ave.
EAST GARFIELD PARK,300 North Central Park
ROGERS PARK,1645-63 W Pratt condo Assoc
LAKE VIEW,640 W. Sheridan Road
DOUGLAS,2605 S Indiana Ave
NEAR WEST SIDE,1634 W Polk
NEAR NORTH SIDE,111 E. Chestnut
NEAR NORTH SIDE,424 West Division Street
ENGLEWOOD,6006 S Peoria St
LOOP,180 N Michigan
MORGAN PARK,11401 S. Oakley Ave
KENWOOD,4611 S. Ellis Ave
NEAR NORTH SIDE,530 North Lake Shore Drive
NEAR NORTH SIDE,1355 N. Sandburg Terrace
DOUGLAS,3241 South Michigan Ave
LOOP,521-531 S. Dearborn St.
IRVING PARK,3601 N MILWAUKEE AVE
OHARE,5441 N. East River Road
DOUGLAS,3245 S. PRAIRIE AVE
DOUGLAS,11 W. 26th Street
NEAR WEST SIDE,226 N Clinton Street
NEW CITY,2111 W 47th St
NEAR SOUTH SIDE,2036 S Michigan Ave
LOOP,618 S. Michigan
LOOP,120 North LaSalle Street
LINCOLN SQUARE,4728 N Wolcott Ave
UPTOWN,4157 North Clarendon Avenue
NEAR NORTH SIDE,33 W. Huron Street
LOOP,701 South Wells Street
LOOP,55 West Monroe
NEAR NORTH SIDE,800 N. Michigan Ave
LOOP,125 S Wacker Dr
SOUTH SHORE,6700 S. Oglesby
LINCOLN PARK,2720 2730 N Greenview Ave
NEAR NORTH SIDE,663-735 N. Michigan Ave.
NEAR NORTH SIDE,701 N. Michigan Ave.
LOOP,711 S Dearborn
NORTH CENTER,3330 N Western Ave
NEAR WEST SIDE,610 S CANAL STREET
LOOP,520 s. michigan ave.
WOODLAWN,437 E 60th St
LINCOLN PARK,1150 W. Fullerton
OHARE,4734 Pueblo
NEAR SOUTH SIDE,50 East 16th St
NEAR NORTH SIDE,70 W Burton Place
LOOP,20 S. Clark Street
NEAR WEST SIDE,111 S Throop St
NEAR NORTH SIDE,340 E Superior St
SOUTH SHORE,7144 S Jeffery Blvd
NEAR WEST SIDE,901 W Madison
EAST GARFIELD PARK,919 S California Avenue
CHATHAM,8235 S VINCENNES AVE
OHARE,8765 W. Higgins Road
NEAR NORTH SIDE,259 East Erie
NEAR SOUTH SIDE,100 E 14th Street
KENWOOD,4554 S Drexel Blvd
NEAR NORTH SIDE,550 N St. Clair St
NEAR NORTH SIDE,10 East Ontario
NEAR SOUTH SIDE,1629 S Prairie Ave
Lake View,725 West Irving Park Road
NEAR NORTH SIDE,676 N St. Clair St
NEAR WEST SIDE,550 West Washington
NEAR NORTH SIDE,30 E. Division
LAKE VIEW,500 W. Belmont Ave.
LOOP,345 E. Wacker Drive
KENWOOD,4825 S. Drexel
SOUTH DEERING,9804 S Exchange
HYDE PARK,"1116 East 59th Street  Chicago, IL 60637"
LINCOLN PARK,1730 West Fullerton Avenue
Lake View,3600 North Halsted Street
WEST ELSDON,3826 W 58th St
WEST TOWN,1232 W North Ave
SOUTH SHORE,2666 E. 73rd St.
LINCOLN SQUARE,4740 N Western Ave
LINCOLN PARK,2754 N. Hampden Ct.
LOOP,118 N. Clark St.
SOUTH LAWNDALE,2730 S KOSTNER AVE
NEAR WEST SIDE,1312 South Racine
LINCOLN PARK,2737 N. Hoyne Avenue
MCKINLEY PARK,1940 W 33RD ST
NEAR NORTH SIDE,224-230 W Huron St
NORTH CENTER,4015 4027 N LINCOLN AVE
NEAR NORTH SIDE,40 E Cedar St
SOUTH CHICAGO,8441 S Yates Blvd
NEAR NORTH SIDE,350 W Hubbard Street
LAKE VIEW,352-360 W. Wellington Ave.
LOOP,900 South Clark
DOUGLAS,3440 S DEARBORN ST
DOUGLAS,3845 S State St
NEAR NORTH SIDE,1550 N State Pkwy
NEAR NORTH SIDE,840 West Blackhawk
EDGEWATER,6151 N Winthrop Ave
UPTOWN,917 W. Eastwood Ave
HYDE PARK,1642 E 56th Street
LOOP,180 N Michigan
PORTAGE PARK,3730 N Laramie Ave
DOUGLAS,3812 S. Michigan
RIVERDALE,925 E. 130th Street
CHATHAM,737 E 83rd Place
WASHINGTON PARK,6253 S MICHIGAN AVE
HYDE PARK,5830-44 S. Stony Island Ave.
LOOP,401 S. State St.
LOOP,1-17 N. Dearborn Street
NEAR WEST SIDE,933 W. Van Buren St.
SOUTH DEERING,1617-1754 E 95th St
LAKE VIEW,1501 W. Belmont Ave.
LOOP,820 S. Michigan Avenue
SOUTH SHORE,"7321 S. Shore Dr. Apt.,"
NEAR SOUTH SIDE,320 E. 21st St.
CHATHAM,8101 8125 S INGLESIDE AVE
NEAR WEST SIDE,111 N. Canal St.
LOOP,250 South Wacker Drive
NEAR NORTH SIDE,162 East Ohio Street
NEAR NORTH SIDE,430 N. Michigan Ave
KENWOOD,5034-5040 S Woodlawn Ave
LOOP,161 North Clark
LINCOLN SQUARE,5110 N Damen Ave
NEAR WEST SIDE,540 W. Madison
OHARE,8500 west bryn mawr ave
LOOP,601 South LaSalle Street
SOUTH SHORE,7100 S. South Shore
NEAR NORTH SIDE,900 North Michigan
LOOP,180 N Wabash
EDGEWATER,5201 Sheridan Road
BRIGHTON PARK,3456 W 38th Street
IRVING PARK,3815 N Kedvale Ave
BELMONT CRAGIN,6045 West Grand Avenue
LAKE VIEW,836 W. Wellington Avenue
NEW CITY,4520 South Damen Ave.
EDGEWATER,1061 W. Rosemont Ave.
NEAR NORTH SIDE,1165 N. Clark St
HYDE PARK,5401 S. Cornell Ave.
LAKE VIEW,851 W Waveland Ave
UPTOWN,4617 4625 N SHERIDAN RD
LINCOLN PARK,2647 2679 N Halsted St
OHARE,8550 W. Bryn Mawr
NEAR NORTH SIDE,1460 N. Halsted
BRIDGEPORT,501-05 W 35TH ST
NEW CITY,4620 South Damen Avenue
WASHINGTON HEIGHTS,1309 W. 95th St.
CHATHAM,87 W 87th Street
